出演イベントID	日付	イベント名＠会場名
14	2007/07/28	めぐみ&ふるふる結婚披露パーティ @ホテルコンコルド浜松
13	2007/02/24	Love Like aiko Vol.8@ライブハウス 渋谷「Guilty」
12	2007/01/21	第5回J-POP祭@ライブハウス「窓枠」(旧)
11	2006/09/09	豊岡元気村虫の音音楽祭2006@豊岡総合センター野球場
10	2006/09/03	窓枠2周年記念パーティ@ライブハウス「窓枠」(旧)
9	2006/07/02	龍水の都音楽祭2006@天龍壬生ホール
8	2006/06/03	結婚披露パーティ@銀座ライオン
7	2006/05/27	第3回J-POP祭@ライブハウス「窓枠」(旧)
6	2005/12/24	浜松冬の蛍音楽祭@冬の蛍ギャラリーモール特設ステージ
5	2005/09/25	第1回J-POP祭@ライブハウス「窓枠」(旧)
4	2004/11/13	静大工学部学園祭@静岡大学工学部特設ステージ
3	2004/10/31	ガーデンコンサート@サンクンガーデン
2	2004/05/22	結婚披露パーティ@Merry You
1	2003/10/04	Polca Dot Slim@Polca Dot Slim
