出演イベントID	イベント名＠会場名	曲名	演奏順	形態	Youtube
75	aikoバンド祭り@渋谷STAR LOUNGE	ボーイフレンド	6	個別	https://youtu.be/T_HIap_b7rg?si=ywS4StaKSeTD6Blw
74	 J-POP祭新年会2019	キスする前に	1	個別	
74	 J-POP祭新年会2019	運命	2	個別	
73	豊岡元気村虫の音音楽祭2018@豊岡中央交流センター	愛の病	1	個別	
73	豊岡元気村虫の音音楽祭2018@豊岡中央交流センター	カブトムシ	2	個別	
73	豊岡元気村虫の音音楽祭2018@豊岡中央交流センター	キスする前に	3	個別	
73	豊岡元気村虫の音音楽祭2018@豊岡中央交流センター	花火	4	個別	
72	aikoバンド祭り@渋谷STAR LOUNGE	星電話	1	個別	
72	aikoバンド祭り@渋谷STAR LOUNGE	赤いランプ	2	個別	
72	aikoバンド祭り@渋谷STAR LOUNGE	カブトムシ	3	個別	
72	aikoバンド祭り@渋谷STAR LOUNGE	more&more	4	個別	
72	aikoバンド祭り@渋谷STAR LOUNGE	アスパラ	5	個別	
72	aikoバンド祭り@渋谷STAR LOUNGE	愛の病	6	個別	
72	aikoバンド祭り@渋谷STAR LOUNGE	キスする前に	7	個別	
72	aikoバンド祭り@渋谷STAR LOUNGE	Loveletter	8	個別	
71	Jポップ歌謡祭@ライブハウスAVANTI	ビードロの夜	1	個別	
71	Jポップ歌謡祭@ライブハウスAVANTI	初恋	2	個別	
71	Jポップ歌謡祭@ライブハウスAVANTI	海の終わり	3	個別	
71	Jポップ歌謡祭@ライブハウスAVANTI	星電話	4	個別	
71	Jポップ歌謡祭@ライブハウスAVANTI	アスパラ	5	個別	
71	Jポップ歌謡祭@ライブハウスAVANTI	赤いランプ	6	個別	
70	Love Like aiko vol.18@吉祥寺 Planet K	ビードロの夜	1	個別	
70	Love Like aiko vol.18@吉祥寺 Planet K	初恋	2	個別	
70	Love Like aiko vol.18@吉祥寺 Planet K	海の終わり	3	個別	
70	Love Like aiko vol.18@吉祥寺 Planet K	星電話	4	個別	
70	Love Like aiko vol.18@吉祥寺 Planet K	アスパラ	5	個別	
70	Love Like aiko vol.18@吉祥寺 Planet K	赤いランプ	6	個別	
69	第11回やらまいかミュージックフェスティバルinはままつ@遠鉄百貨店屋上ステージ	初恋	1	個別	
69	第11回やらまいかミュージックフェスティバルinはままつ@遠鉄百貨店屋上ステージ	愛の病	2	個別	
69	第11回やらまいかミュージックフェスティバルinはままつ@遠鉄百貨店屋上ステージ	Loveletter	3	個別	
69	第11回やらまいかミュージックフェスティバルinはままつ@遠鉄百貨店屋上ステージ	赤いランプ	4	個別	
69	第11回やらまいかミュージックフェスティバルinはままつ@遠鉄百貨店屋上ステージ	花火	5	個別	
68	豊岡元気村虫の音音楽祭2017@豊岡中央交流センター	愛の病	1	個別	
68	豊岡元気村虫の音音楽祭2017@豊岡中央交流センター	初恋	2	個別	
68	豊岡元気村虫の音音楽祭2017@豊岡中央交流センター	Loveletter	3	個別	
68	豊岡元気村虫の音音楽祭2017@豊岡中央交流センター	赤いランプ	4	個別	
68	豊岡元気村虫の音音楽祭2017@豊岡中央交流センター	花火	5	個別	
67	LOVE LIKE aiko ～ちょっと嬉しいaiko対バン～@スタジオ246 名古屋	明日の歌	1	個別	
67	LOVE LIKE aiko ～ちょっと嬉しいaiko対バン～@スタジオ246 名古屋	あした	2	個別	
67	LOVE LIKE aiko ～ちょっと嬉しいaiko対バン～@スタジオ246 名古屋	もっと	3	個別	
67	LOVE LIKE aiko ～ちょっと嬉しいaiko対バン～@スタジオ246 名古屋	ウミウサギ	4	個別	
67	LOVE LIKE aiko ～ちょっと嬉しいaiko対バン～@スタジオ246 名古屋	リズム	5	個別	
67	LOVE LIKE aiko ～ちょっと嬉しいaiko対バン～@スタジオ246 名古屋	二人	6	個別	
67	LOVE LIKE aiko ～ちょっと嬉しいaiko対バン～@スタジオ246 名古屋	beat	7	個別	
66	第10回やらまいかミュージックフェスティバルinはままつ@キタラステージ	キラキラ	1	個別	
66	第10回やらまいかミュージックフェスティバルinはままつ@キタラステージ	カブトムシ	2	個別	
66	第10回やらまいかミュージックフェスティバルinはままつ@キタラステージ	もっと	3	個別	
66	第10回やらまいかミュージックフェスティバルinはままつ@キタラステージ	二人	4	個別	
66	第10回やらまいかミュージックフェスティバルinはままつ@キタラステージ	花火	5	個別	
65	Sunday Night Shuffle@ライブハウスUHU	キラキラ	1	個別	
65	Sunday Night Shuffle@ライブハウスUHU	リズム	2	個別	
65	Sunday Night Shuffle@ライブハウスUHU	カブトムシ	3	個別	
65	Sunday Night Shuffle@ライブハウスUHU	あした	4	個別	
65	Sunday Night Shuffle@ライブハウスUHU	二人	5	個別	
64	空港音楽祭2016@中部国際空港セントレア	ボーイフレンド	1	個別	
64	空港音楽祭2016@中部国際空港セントレア	カブトムシ	2	個別	
64	空港音楽祭2016@中部国際空港セントレア	花火	3	個別	
63	第33回J-POP祭@ライブハウス「窓枠」	あした	1	個別	
63	第33回J-POP祭@ライブハウス「窓枠」	シャッター	2	個別	
63	第33回J-POP祭@ライブハウス「窓枠」	ウミウサギ	3	個別	
63	第33回J-POP祭@ライブハウス「窓枠」	アスパラ	4	個別	https://youtu.be/EPn1ZcjNyac?si=9h5YXTNsumZRqslc
63	第33回J-POP祭@ライブハウス「窓枠」	キスする前に	5	個別	
63	第33回J-POP祭@ライブハウス「窓枠」	花火	6	個別	
62	第9回やらまいかミュージックフェスティバルinはままつ@鍛冶町交差点	キスする前に	1	個別	
62	第9回やらまいかミュージックフェスティバルinはままつ@鍛冶町交差点	アスパラ	2	個別	
62	第9回やらまいかミュージックフェスティバルinはままつ@鍛冶町交差点	あなたと握手	3	個別	
62	第9回やらまいかミュージックフェスティバルinはままつ@鍛冶町交差点	花火	4	個別	
61	空港音楽祭オーディション2015@中部国際空港セントレアホール	カブトムシ	1	メドレー	
	空港音楽祭オーディション2015@中部国際空港セントレアホール	花火	2	メドレー	
60	メンバー3人の三/七輪によるアコバージョンライブ＠豊橋のジャズバーCoty	シャッター	1	個別	
60	メンバー3人の三/七輪によるアコバージョンライブ＠豊橋のジャズバーCoty	悪口	2	個別	
60	メンバー3人の三/七輪によるアコバージョンライブ＠豊橋のジャズバーCoty	それだけ	3	個別	
60	メンバー3人の三/七輪によるアコバージョンライブ＠豊橋のジャズバーCoty	花火	4	個別	
59	ROCKs Vol.256@名古屋市 栄広場	明日の歌	1	個別	
59	ROCKs Vol.256@名古屋市 栄広場	くちびる	2	個別	https://youtu.be/Z5V5F8s_zdQ?si=PLfpCuQ-qGtlb4ZV
59	ROCKs Vol.256@名古屋市 栄広場	Aka	3	個別	https://youtu.be/Vk7jV8D3qWs?si=dAp8By3nrYufj4r5
59	ROCKs Vol.256@名古屋市 栄広場	桜の時	4	個別	
59	ROCKs Vol.256@名古屋市 栄広場	花火	5	個別	
58	THE 柳生HEARTS解散ライブ@ライブハウス窓枠マジミカ	明日の歌	1	個別	
58	THE 柳生HEARTS解散ライブ@ライブハウス窓枠マジミカ	カブトムシ	2	個別	
58	THE 柳生HEARTS解散ライブ@ライブハウス窓枠マジミカ	くちびる	3	個別	
58	THE 柳生HEARTS解散ライブ@ライブハウス窓枠マジミカ	ボーイフレンド	4	個別	
58	THE 柳生HEARTS解散ライブ@ライブハウス窓枠マジミカ	be master of life	5	個別	
57	邦楽トリビュートバンドフェスティバル2015@川崎 CLUB CITTA'	明日の歌	1	個別	https://youtu.be/_eRESXZfwYQ?si=fm8JzWCYgX58JLvJ
57	邦楽トリビュートバンドフェスティバル2015@川崎 CLUB CITTA'	カブトムシ	2	個別	https://youtu.be/qxts2_-cWRM?si=zft-SELLHez5fWgv
57	邦楽トリビュートバンドフェスティバル2015@川崎 CLUB CITTA'	花火	3	個別	https://youtu.be/-REVCZGtzio?si=1UZaUnI0ky9HH3aM
56	Love Like aiko Vol.16@吉祥寺 Planet K	明日の歌	1	個別	
56	Love Like aiko Vol.16@吉祥寺 Planet K	くちびる	2	個別	
56	Love Like aiko Vol.16@吉祥寺 Planet K	マント	3	個別	https://youtu.be/LVWVHR34xLc?si=g2NZlCA5IV2DRQ53
56	Love Like aiko Vol.16@吉祥寺 Planet K	ウミウサギ	4	個別	
56	Love Like aiko Vol.16@吉祥寺 Planet K	相合傘	5	個別	https://youtu.be/naBqdT5YRBQ?si=XXOmKG8Ym_SJBkSL
56	Love Like aiko Vol.16@吉祥寺 Planet K	be master of life	6	個別	https://youtu.be/2PGvt5sNC1E?si=iUvrZ54HG7A2cuqL
55	紅白バンド合戦@コニーキャッツ	カブトムシ	1	個別	
55	紅白バンド合戦@コニーキャッツ	be master of life	2	個別	
54	第8回やらまいかミュージックフェスティバルinはままつ@アクアモール	アンドロメダ	1	個別	https://youtu.be/yHwURdoTW6Q?si=cZ0r3Tsd9jsQh4K_
54	第8回やらまいかミュージックフェスティバルinはままつ@アクアモール	カブトムシ	2	個別	https://youtu.be/NXcqhT2XID4?si=35PVNJP3Kq1De2Z0
54	第8回やらまいかミュージックフェスティバルinはままつ@アクアモール	桜の時	3	個別	https://youtu.be/ECPgO4B098c?si=MVmHOJiffWmuvfqC
54	第8回やらまいかミュージックフェスティバルinはままつ@アクアモール	花火	4	個別	
53	豊岡元気村虫の音音楽祭2014@豊岡総合センター野球場	ボーイフレンド	1	個別	https://www.youtube.com/watch?v=blKUWRGK8yY
53	豊岡元気村虫の音音楽祭2014@豊岡総合センター野球場	Aka	2	個別	
53	豊岡元気村虫の音音楽祭2014@豊岡総合センター野球場	カブトムシ	3	個別	
53	豊岡元気村虫の音音楽祭2014@豊岡総合センター野球場	Loveletter	4	個別	
53	豊岡元気村虫の音音楽祭2014@豊岡総合センター野球場	花火	5	個別	
53	豊岡元気村虫の音音楽祭2014@豊岡総合センター野球場	キラキラ	6	個別	https://www.youtube.com/watch?v=yzersWgbwrk
52	掛川納涼祭選考会ライブ@掛川駅前サンクン広場	愛の病	1	個別	
52	掛川納涼祭選考会ライブ@掛川駅前サンクン広場	カブトムシ	2	個別	
52	掛川納涼祭選考会ライブ@掛川駅前サンクン広場	ボーイフレンド	3	個別	
52	掛川納涼祭選考会ライブ@掛川駅前サンクン広場	Loveletter	4	個別	
51	第28回J-POP祭@ライブハウス「窓枠」	飛行機	1	個別	https://www.youtube.com/watch?v=cP2WEiN3gWA
51	第28回J-POP祭@ライブハウス「窓枠」	beat	2	個別	https://youtu.be/DZKVu5FKlSo?si=hLnhrn7iIdJvoFdt
51	第28回J-POP祭@ライブハウス「窓枠」	カブトムシ	3	個別	https://youtu.be/vWBChmKzn4Y?si=xnZXWLJduihzM43I
51	第28回J-POP祭@ライブハウス「窓枠」	桜の時	4	個別	https://youtu.be/SbxEMTAGrIs?si=U7wnBzzriDlHLitx
51	第28回J-POP祭@ライブハウス「窓枠」	Loveletter	5	個別	https://youtu.be/GNP_Tlriug8?si=uFbjoQpcFtW8BOKI
51	第28回J-POP祭@ライブハウス「窓枠」	キラキラ	6	個別	
50	Love Like aiko Vol.15@ライブハウス 渋谷「Guilty」	飛行機	1	個別	
50	Love Like aiko Vol.15@ライブハウス 渋谷「Guilty」	風招き	2	個別	
50	Love Like aiko Vol.15@ライブハウス 渋谷「Guilty」	アンドロメダ	3	個別	
50	Love Like aiko Vol.15@ライブハウス 渋谷「Guilty」	初恋	4	個別	
50	Love Like aiko Vol.15@ライブハウス 渋谷「Guilty」	beat	5	個別	
50	Love Like aiko Vol.15@ライブハウス 渋谷「Guilty」	二人	6	個別	
50	Love Like aiko Vol.15@ライブハウス 渋谷「Guilty」	ホーム	7	個別	
49	KSI軽音ライブ2013@豊橋オレンジピット	飛行機	1	個別	
49	KSI軽音ライブ2013@豊橋オレンジピット	アンドロメダ	2	個別	
49	KSI軽音ライブ2013@豊橋オレンジピット	初恋	3	個別	
49	KSI軽音ライブ2013@豊橋オレンジピット	風招き	4	個別	
49	KSI軽音ライブ2013@豊橋オレンジピット	二人	5	個別	
48	MUSIC SPARK vol...5@浜松FORCE	二人	1	個別	
48	MUSIC SPARK vol...5@浜松FORCE	風招き	2	個別	
48	MUSIC SPARK vol...5@浜松FORCE	カブトムシ	3	個別	
48	MUSIC SPARK vol...5@浜松FORCE	ホーム	4	個別	
48	MUSIC SPARK vol...5@浜松FORCE	花火	5	個別	
47	はまプラ楽芸祭@イトーヨーカドー宮竹店 特設ステージ	カブトムシ	1	個別	
47	はまプラ楽芸祭@イトーヨーカドー宮竹店 特設ステージ	ホーム	2	個別	
47	はまプラ楽芸祭@イトーヨーカドー宮竹店 特設ステージ	初恋	3	個別	
47	はまプラ楽芸祭@イトーヨーカドー宮竹店 特設ステージ	飛行機	4	個別	
47	はまプラ楽芸祭@イトーヨーカドー宮竹店 特設ステージ	二人	5	個別	
47	はまプラ楽芸祭@イトーヨーカドー宮竹店 特設ステージ	花火	6	個別	
46	GETINライブ@静岡すみやオレンジホール	花火	1	個別	
46	GETINライブ@静岡すみやオレンジホール	カブトムシ	2	個別	
46	GETINライブ@静岡すみやオレンジホール	ホーム	3	個別	
46	GETINライブ@静岡すみやオレンジホール	二人	4	個別	
45	豊岡元気村虫の音音楽祭2013@豊岡総合センター野球場	二人	1	個別	https://www.youtube.com/watch?v=pdO3XI8m4_w
45	豊岡元気村虫の音音楽祭2013@豊岡総合センター野球場	ホーム	2	個別	https://youtu.be/_kmiDAlFCqg?si=cdecUkmSk5QHnWcE
45	豊岡元気村虫の音音楽祭2013@豊岡総合センター野球場	初恋	3	個別	https://www.youtube.com/watch?v=sQEwZnqTNO0
45	豊岡元気村虫の音音楽祭2013@豊岡総合センター野球場	カブトムシ	4	個別	
45	豊岡元気村虫の音音楽祭2013@豊岡総合センター野球場	花火	5	個別	
45	豊岡元気村虫の音音楽祭2013@豊岡総合センター野球場	二人	6	個別	
44	第24回JPOP祭@ライブハウス「窓枠」	シアワセ	1	個別	
44	第24回JPOP祭@ライブハウス「窓枠」	ロージー	2	個別	
44	第24回JPOP祭@ライブハウス「窓枠」	桜の時	3	個別	
44	第24回JPOP祭@ライブハウス「窓枠」	Power of Love	4	個別	
44	第24回JPOP祭@ライブハウス「窓枠」	初恋	5	個別	
43	第6回やらまいかミュージックフェスティバルinはままつ@浜松駅北口キタラステージ	キラキラ	1	個別	
43	第6回やらまいかミュージックフェスティバルinはままつ@浜松駅北口キタラステージ	milk	2	個別	
43	第6回やらまいかミュージックフェスティバルinはままつ@浜松駅北口キタラステージ	愛の病	3	個別	
43	第6回やらまいかミュージックフェスティバルinはままつ@浜松駅北口キタラステージ	ずっと	4	個別	
43	第6回やらまいかミュージックフェスティバルinはままつ@浜松駅北口キタラステージ	花火	5	個別	
42	豊岡元気村虫の音音楽祭2012@豊岡総合センター野球場	キラキラ	1	個別	
42	豊岡元気村虫の音音楽祭2012@豊岡総合センター野球場	愛の病	2	個別	https://www.youtube.com/watch?v=s6pFZERrxGg
42	豊岡元気村虫の音音楽祭2012@豊岡総合センター野球場	天の川	3	個別	
42	豊岡元気村虫の音音楽祭2012@豊岡総合センター野球場	milk	4	個別	https://youtu.be/OX__Tw5fwfQ?si=OU055oR2yRzLO3i7
42	豊岡元気村虫の音音楽祭2012@豊岡総合センター野球場	花火	5	個別	
41	NARUフェス2012@浜名湖ガーデンパーク	花火	1	個別	
41	NARUフェス2012@浜名湖ガーデンパーク	milk	2	個別	
41	NARUフェス2012@浜名湖ガーデンパーク	天の川	3	個別	
41	NARUフェス2012@浜名湖ガーデンパーク	夏が帰る	4	個別	
41	NARUフェス2012@浜名湖ガーデンパーク	キラキラ	5	個別	
40	龍水の都音楽祭2012@天龍壬生ホール	キラキラ	1	個別	https://www.youtube.com/watch?v=iB-uCdILbvw
40	龍水の都音楽祭2012@天龍壬生ホール	milk	2	個別	
40	龍水の都音楽祭2012@天龍壬生ホール	天の川	3	個別	https://youtu.be/5_sDjqNpIDI?si=HZQIq5yEfUdUE1PX
40	龍水の都音楽祭2012@天龍壬生ホール	夏が帰る	4	個別	https://youtu.be/8lEUzyyuiRg?si=PXdVfjprb2bjGZeR
40	龍水の都音楽祭2012@天龍壬生ホール	花火	5	個別	
